	road_name
689	Rue du Bois-du-Lan 7
690	Route de Drize 49-37
691	Pont de l'Écu
692	Rue Gourgas 15-11
693	Chemin de Grange-Canal 9-7
694	Boulevard James-Fazy 13-5
695	Rue du Pré-Bouvier
696	Rue du 31 Décembre 38
697	Rue du Nant 2-16
698	Tunnel de Vernier
699	Boulevard James-Fazy 5
700	Rue du Mont-Blanc 11-9
701	Rue Terreaux-du-Temple 20-22
702	Avenue Henri-Dunant 9-4
703	Unnamed Road
704	Chemin des Crêts-de-Champel 2-8
705	Rue du Fort-Barreau
706	Chemin du Petit-Bel-Air 2
707	Route de Chêne 121-111
708	Route de Saint-Julien 111-109
709	Route de Meyrin
710	Rue des Charmilles 20
711	Pont du Mont-Blanc
712	Unnamed Road
713	Unnamed Road
714	Rue Adhémar-Fabri 7
715	Rue Michel-Chauvet
716	Route des Acacias 6-2
717	Chemin de la Mousse 27-25
718	Rue de Neuchâtel 15-1
719	Rue de la Servette 92-98
720	Rue des Bossons 40
721	Rue de Lyon 106-108
722	Avenue de la Foretaille
723	Route de Chancy 131
724	Av. de la Gare-des- Eaux-Vives 9
725	Route Blanche
726	Route des Acacias 44-40
727	Rue Micheli-du-Crest 2
728	Boulevard James-Fazy
729	Grottes - Saint-Gervais
730	Confignon
731	Rue de Jargonnant
732	Rue du Bachet
733	Avenue de Châtelaine 95-91
734	Avenue Adrien-Jeandin
735	Avenue des Allières
736	Place de l'Octroi 2
737	Avenue d'Aïre
738	Route de Thonon
739	Rue de Genève 68-80
740	Avenue d'Aïre
741	E62
742	Rue Pierre-Fatio 6-12
743	Avenue Tronchet 22-20
744	:ERROR STATUS: NOT_FOUND
745	Route de Vernier 137
746	Voie Centrale
747	Pont du Mont-Blanc
748	Route de Choulex
749	Boulevard Helvétique 24-28
750	Rue de la Dôle 5-3
751	Rue Jean-Simonet 2
752	Route de la Parraille 4
753	Rue Jacques-Grosselin 19
754	Rond-Point de Plainpalais 7
755	Unnamed Road
756	Route de Meyrin
757	Route de Jussy
758	Boulevard James-Fazy
759	Rue des Alpes 14-16
760	Route de Vandœuvres
761	Voie Centrale
762	Rue Henri-Frédéric-Amiel 9
763	Chemin Le-Sapay
764	Route de Sous-Moulin 35
765	Quai du Général-Guisan 28
766	Rue du Village 3-1
767	Rue Michel-Servet 12-16
768	Route de Meyrin
769	Rue de Bâle 23-21
770	Route de Saint-Julien
771	Chemin Edouard-Sarasin 18
772	Chemin Rieu 18
773	Parc du Château-Banquet 2-26
774	Rue Pierre-Fatio 6-12
775	Rue de Lyon 110
776	Rue des Pâquis 28-50
777	Avenue des Grandes-Communes
778	Rue de la Fontenette
779	Route de Jussy
780	Route de Meyrin
781	Chemin de Grange-Falquet
782	E62
783	Rue de Berne 56-60
784	Route de Chêne 153
785	Route d'Annecy
786	Rue Adrien-Lachenal 17-13
787	Pont du Mont-Blanc
788	Route de Chancy 90-98
789	Rue Pierre-Fatio 19-13
790	Quai Gustave-Ador 56-60
791	Route de Florissant 25-23
792	Chemin des Sureaux
793	Rue de Genève 6-50
794	Rue de l'Est 2-10
795	Quai Wilson 43
796	E62
797	Tunnel de Confignon
798	Avenue Bois-de-la-Chapelle 65-55
799	Champel
800	Boulevard James-Fazy 3
801	Route de Meyrin
802	Chemin de la Fraidieu 16
803	Chemin de Tivoli
804	Place de Cornavin 12-22
805	Boulevard James-Fazy
806	Route de Vernier
807	A1a
808	Rue du 31 Décembre 67
809	Route de la Capite 167-151
810	Quai du Général-Guisan 40-42
811	Rue du Vélodrome 2
812	E62
813	Route des Jeunes
814	Unnamed Road
815	Rue Caroline 27-11
816	Quai Gustave-Ador 28-30
817	Avenue Louis-Rendu 11
818	Rue Hoffmann 13-11
819	Rue Hoffmann 9-7
820	Rue François-Dussaud 2
821	Chemin Rieu 6-8
822	Rue du Grand-Pré 62
823	Clos-Belmont 8-2
824	Rue Docteur-Alfred-Vincent 14-20
825	Rue Ami-Lévrier 7-1
826	Chemin de Grange-Canal 10
827	Rue de la Prulay
828	Rue de Chantepoulet 2-4
829	Chemin de la Place-Verte 46
830	Rue Charles-Cusin 3
831	Route du Nant-d'Avril 34
832	Boulevard des Promenades 25
833	Unnamed Road
834	Route de Lausanne 314-318
835	Unnamed Road
836	Unnamed Road
837	Route des Jurets 2-26
838	Chemin des Bougeries 27-17
839	A1a
840	Route des Romelles
841	Rue de Carouge 65-57
