	road_name
589	Route de Peney 2
590	Chemin des Coudriers 41
591	Rue de Moillebeau 3
592	Rue du Grand-Pré
593	Chemin du Château-Bloch 1
594	Route de Florissant 59-53
595	Route de Chêne 26
596	Route de Meyrin 29-21
597	Route de Thonon 7-3
598	Avenue De-Luserna 15-13
599	Boulevard de Saint-Georges 5-1
600	Avenue Louis-Aubert 2
601	Route Alphonse Ferrand 2-4
602	Unnamed Road
603	Avenue du Lignon 22-16
604	Place de Cornavin
605	Avenue du Lignon 22-16
606	Quai du Général-Guisan 40-42
607	Avenue du Mail
608	Route de Meyrin
609	Rue du Premier-Juin 3
610	Route de Veyrier
611	Avenue du Mail 22
612	Route de Bellebouche
613	Chemin de la Montagne
614	Rue Jacques-Dalphin 33
615	Avenue de Sainte-Clotilde 2-6
616	Avenue de Châtelaine
617	Champel
618	Route d'Aïre 159-133
619	Route de Chêne
620	Avenue de Mategnin
621	Rue Dancet 9-1
622	:ERROR STATUS: NOT_FOUND
623	Chemin du Centurion 6
624	Rue des Peupliers 12-26
625	Avenue des Grandes-Communes 25-21
626	Chemin des Mattines
627	Route de Florissant 59-53
628	Quai Gustave-Ador
629	Avenue du Lignon
630	Route de Vernier 92-94
631	Quai du Général-Guisan 34
632	Unnamed Road
633	Route de Rougemont 1
634	Route de Saint-Julien 169-167
635	Avenue Louis-Casaï 26-30
636	Rue du Conseil-Général 4
637	Boulevard de Saint-Georges 16
638	Boulevard Georges-Favon 21
639	Route Suisse 301
640	Rue des Bugnons
641	Vernier
642	Boulevard des Promenades 25
643	Chemin des Princes 43-39
644	Rue des Eaux-Vives
645	Rue de la Fontenette 35
646	Route François-Peyrot
647	Rue Pestalozzi 17
648	Route de Sous-Moulin
649	Boulevard Helvétique 9-5
650	Chemin des Cyprès 2-8
651	Quai Wald-Wilson
652	Chemin des Sellières 5-3
653	Boulevard Helvétique
654	Route des Jeunes
655	Rue des Grand'Portes
656	Rue de la Terrassière 14-22
657	Route de la Capite 113-111
658	Rue de la Gabelle 20-34
659	Rue des Alpes
660	Route de Lausanne 228-230
661	Tunnel de Vernier
662	Rue d'Italie 5
663	Rue Terreaux-du-Temple 8-10
664	Rue de Hollande 10-12
665	Avenue Adrien-Jeandin 37-31
666	Chemin du Pont-du-Centenaire
667	Rue De-Candolle 19-9
668	Pâquis-Nations
669	Tranchée du Bachet-de-Pesay
670	:ERROR STATUS: NOT_FOUND
671	Avenue du Pailly 6
672	Pont du Mont-Blanc
673	Rue du Mont-Blanc 11-9
674	Chemin du Pré-Langard 1
675	Chemin de Beau-Soleil 3-7
676	Unnamed Road
677	Chemin de la Léchaire
