	road_name
726	Champel
727	Rue du Grand-Pré 74-76
728	Place du Pré-I'Évéque
729	Route de la Capite
730	Unnamed Road
731	Route de Meyrin 385-33
732	Rue Robert-Estienne 4-6
733	Chemin Massenet 12-22
734	Chemin Rieu 2-4
735	Avenue de France 22-20
736	Avenue Jacob-Daniel-Maillard
737	Rue de Moillebeau 55
738	E62
739	Pont de Sous-Terre
740	Rue du Grand-Pré
741	Route de Thonon 112
742	Quai de Cologny 1
743	Route de Chancy 40
744	Centre-Plainpalais-Acacias
745	Avenue De-Warens
746	Rue Lombard
747	Rue de Lyon 111-105
748	Rue du Grand-Bureau
749	Chemin de Faguillon 4
750	Rue Jean-Jaquet 3-1
751	Rue De-Beaumont 11-3
752	Route de Saint-Julien 77-75
753	Unnamed Road
754	Avenue des Communes-Réunies
755	Rue du Vieux-Collège 4-6
756	Route de Jussy
757	Route de Vernier
758	Rue de Berne 21
759	Avenue Trembley 12
760	Rue Hoffmann 13-11
761	Rue Pédro-Meylan
762	Av. Cardinal-Mermillod 21-11
763	Ch. Jacques-Philibert-de-Sauvage 40-42
764	Avenue Wendt 16-22
765	Route de Thonon
766	Route de Suisse 77-71
767	Route de Thonon 88-90
768	Route de Lausanne 355-345
769	Rue des Cèdres 8-16
770	Rue François-Versonnex
771	Geneva
772	E62
773	Rue de la Croix-Rouge 4
774	Rue de Chantepoulet 25-15
775	Rue Dancet 2-10
776	Route de Peney 141
777	Rue Goetz-Monin 25-9
778	Avenue du Pailly 2
779	E62
780	Avenue Vibert 29
781	Unnamed Road
782	E62
783	Avenue Edmond-Vaucher 6-8
784	Place des Cinq-Continents
785	Rue de la Golette
786	Rue François-Bellot 5-1
787	Chemin de Champs Prévost 30-22
788	Rue du Pré-Salomon 7-5
789	Place de Cornavin 7
790	Grottes - Saint-Gervais
791	Rlle du Midi 5-3
792	Rue Charles-Cusin 3
793	Boulevard Helvétique 14
794	Rue de Bâle 12-26
795	Route de Veyrier
796	Rue Docteur-Alfred-Vincent 9-5
797	:ERROR STATUS: NOT_FOUND
798	Avenue Louis-Rendu
799	Route de Chancy 167
800	Rue Pierre-Fatio 2
801	Avenue Krieg 44
802	Chemin de Maronsy 41-19
803	Avenue de l'Ain 129-115
804	Boulevard Helvétique 9-5
805	Quai du Général-Guisan 22-26
806	Pont du Mont-Blanc
807	Route de l'Aéroport
808	Place de Cornavin
809	Boulevard Carl-Vogt 81-75
810	Rue de la Cloche
811	Route de Chêne
812	Chemin Michée-Chauderon
813	:ERROR STATUS: NOT_FOUND
814	Rue Saint-Ours 2-6
815	Pont de la Coulouvrenière
816	Avenue A.-M.-Mirany
817	Avenue des Cavaliers 17-9
818	Rue de Montchoisy 7-3
819	Avenue Wendt
820	Boulevard Carl-Vogt 43-31
821	Avenue de Thônex
822	Rue Dancet 2-10
823	Place de l'Eglise 1-11
824	Rlle du Midi 5-3
825	Chemin de la Mère Voie
826	Route de Chêne 70-72
827	Unnamed Road
828	Rue de la Croix-Rouge 4
829	Route de Ferney 175
830	Rue Henri-Christiné 7-1
831	Rue Simon-Durand 2-10
832	Route du Creux-du-Boisset 59
833	Route de Saint-Julien 129-127
834	Route de Jussy 15
835	Rue Le-Corbusier
836	Chemin Barde 6
837	Avenue de France
838	Chemin Jean-Baptiste Vandelle 10
839	:ERROR STATUS: NOT_FOUND
840	Rue Lombard 16
841	Route de Juvigny 90-100
842	Avenue Vibert
843	Rue de Genève 135-123
844	Avenue de Mategnin
845	Route de Soral 87
846	E62
847	Route de Meyrin 385-33
848	Route de Suisse
849	Rue du Puits-Saint-Pierre 2
850	Chemin François-Lehmann 20
851	Quai du Général-Guisan 34
852	Route de la Galaise
853	Rue Maunoir 15-1
854	Voie Centrale
855	Rue Sigismond-Thalberg
856	Rue de la Rôtisserie 6-8
857	Avenue William-Favre 19
858	Route de Chêne 25-23
859	Route d'Aire-la-Ville
860	Route de Saint-Julien 268
861	Route du Val-d'Arve
862	:ERROR STATUS: NOT_FOUND
863	Route de Peney 157
864	Route de Saint-Julien 179
865	Route de Malagnou 194-198
866	Avenue Pictet-de-Rochemont 26-30
867	Chemin des Coudriers
868	Pâquis-Nations
869	Avenue du Curé Baud
870	Chemin des Sellières 1
871	Rue De-Miléant 5-3
872	Route des Tournettes
873	Place Saint-Gervais 6-20
874	Rue des Garages
875	Rue Léonard-Baulacre
876	Boulevard Helvétique
877	Rue Jean-Charles Amat
878	Chêne-Bougeries
879	Route de l'Etraz 115
880	Pregny-Chambésy
881	Rue de Vermont
882	Avenue du Pailly
883	Route de Suisse 77-71
884	Quai du Mont-Blanc 14
885	:ERROR STATUS: NOT_FOUND
886	Unnamed Road
887	Rue de Chantepoulet 8-12
888	Rue des Bossons 19-11
889	Route du Vallon
890	Tunnel de Vernier
891	Tunnel de Vernier
892	Tranchée Couverte de Chèvres
893	Route de Saint-Loup
894	Route de Malagnou 39-37
895	Rue de Sous-Terre
896	Chemin du Grand-Puits
897	Route de Malagnou 16-10
898	Rue de Montbrillant 10-30
899	Rue Frank-Martin
900	Route d'Hermance 293-287
901	Route du Nant-d'Avril
902	Avenue de Bel-Air 19-13
903	Avenue de la Paix
904	Route du Bout-du-Monde 5
905	Chemin des Préjins
906	Quai Gustave-Ador 11
907	Quai de Cologny 80-86
908	Route de Meyrin
909	Avenue des Communes-Réunies 28-34
910	:ERROR STATUS: NOT_FOUND
911	Rue de Genève 77
912	Route de Vernier
913	Route de Vernier 115-113
914	Route de Vernier
915	Route du Nant-d'Avril 67-49
916	Rue Hans Wilsdorf
917	Avenue J.-D.-Maillard 3
918	Route du Grand-Lancy 7
919	Rue de Lyon 49
920	Rue de Lyon 21-9
921	Rue Charles-Cusin 3
922	Route de Suisse 38-68
923	Rue de Berne 8-14
924	Avenue des Amazones 25
925	Rue Prévost-Martin
926	Rue Ernest-Bloch 33-31
927	Chemin Delay
928	Route de Champvigny 51-29
929	Rue du Temple
930	Rue de Jargonnant
931	Route J.-J.-Rigaud
932	Rue Pécolat 5
933	:ERROR STATUS: NOT_FOUND
934	:ERROR STATUS: NOT_FOUND
935	Route de Chêne 124-132
936	Route du Grand-Lancy 92-96
937	Route du Mandement
938	Rue de Fribourg 2-16
939	Rue Philippe-Plantamour 28-32
940	Rue Docteur-Alfred-Vincent 9-5
941	Lancy
942	Avenue William-Favre 32-40
943	Avenue Henri-Dunant
944	Rue Lect
945	Rue de Genève 100-106
946	Vernier
947	Route des Jeunes 8
948	Rue Pestalozzi 29-21
949	Chemin des Verjus 11
950	Boulevard des Philosophes 7-3
951	Chemin des Aulx
952	Avenue de Miremont 35-27
953	Avenue des Amazones 25
954	Rue de Vermont 6
955	:ERROR STATUS: NOT_FOUND
956	Route du Val-d'Arve 92
957	Route d'Hermance 152-154
958	Rue du Purgatoire 3-1
959	Route de Vernier
960	Route du Pont Butin
961	1
962	E62
963	Quai Gustave-Ador 80-82
964	Rue du 31 Décembre 65
965	Route de Collex
966	Route de Vernier
967	Quai du Général-Guisan 34
968	E62
969	Rampe du Pont-Rouge
970	E62
971	Rue de la Servette 67-53
972	Rue Jean-Antoine-Gautier
973	Rue Hoffmann 5-3
974	Avenue d'Aïre
975	Avenue d'Aïre
