	road_name
704	Route de Saint-Julien 82-84
705	Route de Thonon
706	Chemin de la Mousse 63
707	Avenue Tronchet 23
708	Route de Suisse 38-68
709	Route des Acacias 38-30
710	Rue de la Calle 23-15
711	Route de Malagnou 97-79
712	Centre-Plainpalais-Acacias
713	Chemin de la Nonnette
714	Route de Meyrin
715	Rue de Genève 100-106
716	Unnamed Road
717	Quai de Cologny
718	Route de Chancy 402-408
719	Chemin Maurice-Roch
720	Route de Meyrin 385
721	Avenue du Mail 24
722	Chemin de Sous-Balme 10-20
723	Quai Gustave-Ador 45
724	Rue de la Coulouvrenière 15
725	Place de Cornavin 7
726	Chemin des Rasses
727	Avenue Vibert
728	Unnamed Road
729	Quai de Cologny 1
730	Route de Meyrin
731	:ERROR STATUS: NOT_FOUND
732	Avenue des Grandes-Communes 44
733	Rue de la Fontenette 39-35
734	Rue Hoffmann 4-10
735	Pont de Saint-Georges
736	Rue des Moraines 9-1
737	Chemin des Hauts-Crêts 100-94
738	Rue de la Croix-Rouge
739	Chemin du Grand-Puits
740	Route de Florissant 86
741	Route du Camp
742	Route de Saint-Julien
743	Route de Saint-Julien 121-119
744	Rue Lect
745	Route de Suisse 38-68
746	Rue Alberto Giacometti 15-5
747	Rue du Rhône
748	Avenue de la Roseraie 27-23
749	Unnamed Road
750	Rue Antoine-Jolivet
751	Rue Pestalozzi 17-11
752	Avenue Pictet-de-Rochemont 14
753	Route de Pierre-Grand
754	Rue de Veyrier 17-13
755	Boulevard Helvétique 18
756	:ERROR STATUS: NOT_FOUND
757	Avenue du Bouchet 29-21
758	:ERROR STATUS: NOT_FOUND
759	Avenue de Mategnin
760	Avenue Adrien-Jeandin
761	Rue François-Bonivard 8-12
762	Rue de la Bergère 10-24
763	Quai de Cologny 61
764	Route du Grand-Lancy
765	Route d'Annecy
766	Route de Saint-Julien 148-150
767	Route du Val-d'Arve
768	Route du Pont Butin
769	Route de Choulex 32-42
770	Route de la Capite 119-115
771	Route du Nant-d'Avril 22
772	Rue René Jollien 4-14
773	Route du Camp 27-21
774	Chemin Du-Villard
775	E62
776	Rue Carqueron 1-10
777	Avenue du Lignon 84-64
778	Unnamed Road
779	E62
780	Pont des Acacias
781	Boulevard des Tranchées
782	E62
783	Tunnel de Vernier
784	Tranchée Couverte de Chèvres
785	Place de Cornavin 7
786	Avenue du Lignon 84-64
787	:ERROR STATUS: NOT_FOUND
788	Avenue William-Favre 32-40
789	Rue Petit-Senn 1
790	Place Émile Guyénot
791	Route de Pré-Bois
792	Rue François-Dussaud 13
793	Route du Val-d'Arve 92
794	Route de Vernier
795	Rue Jean-Calvin 2-14
796	Route de Sous-Moulin
797	Route des Fayards
798	Chemin de Riantbosson 21-17
799	Quai Gustave-Ador
800	Chemin de Saule
801	Rue de Montchoisy 20-44
802	Route de Florissant
803	Avenue Edmond-Vaucher 17-15
804	Route de Chancy
805	Avenue de Châtelaine
806	:ERROR STATUS: NOT_FOUND
807	Route de Sous-Moulin
808	Route de Saint-Julien 129-127
809	Route de Jussy 118-120
810	A1a
811	Rue de l'Ecole-de-Médecine 11
812	Route de Meyrin
813	Chemin des Palettes 1
814	Pâquis-Nations
815	Chemin de Champs Prévost
816	Route de Ferney 187-185
817	Pont de Saint-Georges
818	Rue Jacques-Grosselin
