ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
236973;Frontière;;2011-02-08 09:59:10;;2495324.48;1122553.19
232891;Impasse;;2011-02-08 10:20:22;;2494048.72;1122212.92
232183;Frontière;;2011-02-08 10:24:11;;2491612.26;1121888.53
232902;Frontière;;2011-02-08 10:39:31;;2487025.09;1119229.30
233347;Frontière;;2011-02-08 10:42:25;;2486743.78;1118735.50
232972;Frontière;;2011-02-08 10:51:42;;2487278.30;1116684.04
232159;Frontière;;2011-02-08 10:54:40;;2488259.14;1116091.95
232128;Frontière;;2011-02-08 10:58:05;;2486017.44;1111392.94
232610;Frontière;;2011-02-08 11:07:21;;2489501.47;1111127.71
232127;Frontière;;2011-02-08 11:17:16;;2491527.83;1110140.97
233543;Frontière;;2011-02-08 11:21:47;;2492549.74;1111000.89
233476;Impasse;;2010-09-22 08:36:15;;2502717.43;1113777.79
225272;Autres carrefours;;2010-10-11 11:20:59.000001;;2500062.47;1117488.24
225363;Autres carrefours;;2010-10-11 13:45:20;;2499774.01;1117652.83
226883;Autres carrefours;;2010-10-11 13:51:17;;2500173.23;1117865.14
236846;Autres carrefours;;2011-01-19 07:58:46;;2500062.21;1118385.03
223007;Autres carrefours;;2010-10-13 09:58:38;;2495422.19;1120423.19
225004;Autres carrefours;;2011-01-25 15:08:21;;2506258.84;1124253.47
225005;Autres carrefours;;2011-01-25 15:33:21;;2506313.36;1124216.69
236848;Autres carrefours;;2011-01-19 08:05:48;;2500099.70;1118312.74
228270;Autres carrefours;;2011-01-19 09:47:19;;2498691.07;1119211.69
232027;Impasse;;2011-01-19 09:48:38;;2498593.48;1119187.51
228777;Autres carrefours;;2011-02-01 13:15:40;;2503930.68;1118151.36
227224;Stop toutes directions;;2010-09-28 15:00:34;;2497182.23;1114631.13
236570;Autres carrefours;;2010-09-23 14:25:00;;2496444.51;1119932.84
227171;Stop toutes directions;;2010-09-28 14:57:46;;2496943.02;1114508.58
226396;Autres carrefours;;2010-10-12 10:07:25;;2504813.43;1133014.71
236727;Autres carrefours;;2011-01-06 15:19:02;;2506671.19;1118496.31
226411;Autres carrefours;;2010-10-12 10:16:43;;2503597.53;1134841.61
228417;Autres carrefours;;2011-01-25 14:21:24;;2497970.12;1118809.61
236993;Autres carrefours;;2011-02-11 16:40:27;;2503620.51;1116621.91
236988;Autres carrefours;;2011-02-11 16:14:35;;2499989.87;1115400.51
236999;Changement voie;;2011-02-11 17:06:43;;2494849.18;1120692.54
224959;Autres carrefours;;2010-10-19 10:57:09;;2500242.56;1118288.97
224961;Signalisation lumineuse;;2010-10-19 10:58:53.000001;;2500286.97;1118347.42
226461;Autres carrefours;;2010-10-19 10:59:52;;2500384.53;1118227.83
226327;Autres carrefours;;2010-10-19 11:09:36;;2499927.05;1117773.61
227043;Autres carrefours;;2010-10-19 13:35:52;;2499119.39;1118684.51
222949;Autres carrefours;;2010-10-19 13:37:15;;2499104.65;1118787.31
233345;Impasse;;2010-10-19 13:43:26;;2499226.29;1118835.76
227200;Autres carrefours;;2010-10-19 13:48:37;;2498314.66;1119101.17
225844;Autres carrefours;;2010-11-19 08:38:30;;2496039.33;1119503.16
227754;Signalisation lumineuse;;2010-11-19 08:39:20;;2496174.84;1119534.35
232116;Impasse;;2010-11-24 10:38:09;;2505162.99;1116919.44
225764;Giratoire;;2016-02-18 10:29:07;13;2497190.67;1114144.39
225311;Autres carrefours;;2008-04-18 16:22:01;;2499938.15;1117626.59
224863;Autres carrefours;;2008-04-18 16:22:01;;2499779.65;1122201.47
227733;Autres carrefours;;2011-08-29 08:45:12;;2490384.91;1116435.92
223440;Autres carrefours;;2008-04-18 16:22:01;;2509825.25;1121599.37
227873;Autres carrefours;;2008-04-18 16:22:01;;2498297.58;1116260.38
227550;Autres carrefours;;2008-04-18 16:22:01;;2491175.72;1112332.10
224146;Autres carrefours;;2008-04-18 16:22:01;;2492179.27;1112324.97
226169;Autres carrefours;;2008-04-18 16:22:01;;2492538.89;1112224.17
226177;Autres carrefours;;2008-04-18 16:22:01;;2492707.26;1112053.80
225930;Autres carrefours;;2008-04-18 16:22:01;;2492968.35;1113755.87
228590;Autres carrefours;;2008-04-18 16:22:01;;2492508.03;1113577.64
224955;Autres carrefours;;2008-04-18 16:22:01;;2500408.72;1118317.60
